attack,phf,asr,l2,efficiency,queries,lpips,time_per_attack
analytical_dct_attack,phash,1.0,34.19502501122623,0.02924401928139198,3.0,nan,0.0024676084518432616
atkscopes_attack,phash,1.0,83.93521651619199,0.011913950181961338,17048.8,nan,18.95468521118164
hsja_attack,phash,1.0,45.32600264308963,0.02206239067256615,1612.9,nan,2.582561206817627
hsja_v2_attack,phash,0.4,30.146667488650735,0.013268464478938605,18033.4,nan,20.448800587654112
nes_attack,phash,0.7,81.55671363018038,0.008582984284913338,20628.1,nan,22.356869626045228
nes_hsja_attack,phash,1.0,51.83677890639423,0.019291321756594045,3041.8,nan,3.3662377834320067
nes_jsha_attack,phash,0.7,77.18728398698877,0.009068851173065575,25305.2,nan,27.728190422058105
prokos_attack,phash,1.0,94.39280368761352,0.01059402783198816,6911.5,nan,8.885680723190308
random_noise,phash,0.0,0.7754750419646231,0.0,201.0,nan,0.3990486145019531
simba_attack,phash,0.9,79.66436290082098,0.011297397681107012,20123.8,nan,21.806298398971556
simba_hsja_attack,phash,1.0,48.8586105297603,0.02046722100137638,816.9,nan,0.7629095077514648
simba_jsha_attack,phash,0.4,57.89247857191516,0.006909360299607003,24270.3,nan,26.30515511035919
zo_signsgd_attack,phash,0.9,84.32037820503854,0.010673576287074155,20689.6,nan,21.85847451686859
zo_signsgd_hsja_attack,phash,1.0,57.4174610150817,0.017416304463916094,3667.8,nan,3.8849073886871337
zo_signsgd_jsha_attack,phash,0.7,72.85468421588548,0.009608167243132492,20806.8,nan,22.241442370414735
zo_signsgd_v2_attack,phash,1.0,89.4137797518693,0.011183958351734209,11214.5,nan,12.286657691001892
atkscopes_attack,pdq,1.0,40.66637799709427,0.024590337882589765,1300.7,nan,1.6511680126190185
hsja_attack,pdq,1.0,28.256431470392112,0.03539017181478335,1616.8,nan,2.7459312915802
hsja_v2_attack,pdq,1.0,33.2263848739846,0.030096562526921538,3027.0,nan,4.408550906181335
nes_attack,pdq,1.0,41.370921022902714,0.024171566672998142,1329.4,nan,1.6281781911849975
nes_hsja_attack,pdq,1.0,28.499653860341407,0.03508814422140762,3025.8,nan,3.7244445085525513
nes_jsha_attack,pdq,1.0,34.75237806383054,0.02877500841491386,1845.2,nan,2.5427895069122313
prokos_attack,pdq,1.0,42.87959495353066,0.023321115270855557,822.1,nan,1.1747600078582763
random_noise,pdq,0.0,7.155610848620479,0.0,201.0,nan,0.3899256944656372
simba_attack,pdq,1.0,44.49158358165795,0.02247616059087855,1505.7,nan,1.9390790939331055
simba_hsja_attack,pdq,1.0,24.69934402349669,0.0404869035615597,817.6,nan,0.9357438087463379
simba_jsha_attack,pdq,1.0,45.52973257116711,0.021963669047983976,2890.0,nan,3.9434728145599367
zo_signsgd_attack,pdq,1.0,58.07584367499337,0.017218862774984068,3317.9,nan,4.022158622741699
zo_signsgd_hsja_attack,pdq,1.0,24.401460764771095,0.040981151442481246,3662.6,nan,4.429773306846618
zo_signsgd_jsha_attack,pdq,1.0,48.00182426798121,0.020832541146451628,3478.6,nan,4.470575881004334
zo_signsgd_v2_attack,pdq,1.0,44.64065710275194,0.02240110344471722,1628.7,nan,2.0325119972229
